drugcategory;category_detail
1335;"['Ace Inhibitors And Diuretics', 'Acids', 'Acids, Acyclic', 'Acids, Noncarboxylic', 'Agents Acting On The Renin-Angiotensin System', 'Agents Causing Angioedema', 'Agents Causing Hyperkalemia', 'Amino Acids', 'Amino Acids, Cyclic', 'Amino Acids, Peptides, And Proteins', 'Angiotensin-Converting Enzyme Inhibitors', 'Antihypertensive Agents', 'Antihypertensive Agents Indicated For Hypertension', 'Cardiovascular Agents', 'Drugs Causing Inadvertant Photosensitivity', 'Drugs That Are Mainly Renally Excreted', 'Enzyme Inhibitors', 'Hypotensive Agents', 'Imines', 'Imino Acids', 'Organophosphorus Compounds', 'Phosphinic Acids', 'Phosphorus Acids', 'Phosphorus Compounds', 'Photosensitizing Agents', 'Protease Inhibitors']"
1336;"['Anti-Infective Agents', 'Antiinfectives For Systemic Use', 'Antiviral Agents', 'Antivirals For Systemic Use', 'Antivirals For Treatment Of Hcv Infections', 'Bcrp/Abcg2 Inhibitors', 'Direct Acting Antivirals', 'Drugs That Are Mainly Renally Excreted', 'Hepatitis C Virus Ns5A Inhibitor', 'Heterocyclic Compounds, Fused-Ring', 'P-Glycoprotein Inhibitors', 'P-Glycoprotein Substrates', 'Treatments For Hepatitis C']"
1337;"['Amides', 'Antihypertensive Agents', 'Antihypertensive Agents Indicated For Hypertension', 'Benzothiadiazines', 'Bradycardia-Causing Agents', 'Cardiovascular Agents', 'Diuretics', 'Genito Urinary System And Sex Hormones', 'Gynecological Antiinfectives And Antiseptics', 'Heterocyclic Compounds, Fused-Ring', 'Hyperglycemia-Associated Agents', 'Hypotensive Agents', 'Increased Diuresis', 'Low-Ceiling Diuretics And Potassium-Sparing Agents', 'Membrane Transport Modulators', 'Natriuretic Agents', 'Sodium Chloride Symporter Inhibitors', 'Sulfonamides', 'Sulfones', 'Sulfur Compounds', 'Thiazides']"
1338;"['Alimentary Tract And Metabolism', 'Anions', 'Caries Prophylactic Agents', 'Cariostatic Agents', 'Compounds Used In A Research, Industrial, Or Household Setting', 'Dental Agents', 'Drugs That Are Mainly Renally Excreted', 'Fluorides', 'Fluorine Compounds', 'Ions', 'Mineral Supplements', 'Miscellaneous Therapeutic Agents', 'Mouthwashes And Gargles', 'Protective Agents', 'Sodium Compounds', 'Stomatological Preparations']"
1339;"['Alcohols', 'Alimentary Tract And Metabolism', 'Basic Ointments And Protectants', 'Carbohydrates', 'Cell-Mediated Immunity', 'Compounds Used In A Research, Industrial, Or Household Setting', 'Cryoprotective Agents', 'Cytochrome P-450 Cyp2E1 Inducers', 'Cytochrome P-450 Cyp2E1 Inducers (Strength Unknown)', 'Cytochrome P-450 Enzyme Inducers', 'Drugs For Constipation', 'Enemas', 'Increased Histamine Release', 'Increased Igg Production', 'Irrigating Solutions', 'Laxatives', 'Non-Standardized Chemical Allergen', 'Osmotic Laxatives', 'Other Cold And Cough Preparations', 'Other Diagnostics', 'Protective Agents', 'Solvents', 'Sugar Alcohols', 'Triose Sugar Alcohols']"
1340;"['Adrenergic Agents', 'Adrenergic Antagonists', 'Adrenergic Beta-Antagonists', 'Agents Causing Hyperkalemia', 'Alcohols', 'Amines', 'Amino Alcohols', 'Antiarrhythmic Agents', 'Beta Blocking Agents, Non-Selective', 'Bradycardia-Causing Agents', 'Cardiovascular Agents', 'Cytochrome P-450 Cyp2D6 Substrates', 'Cytochrome P-450 Substrates', 'Neurotransmitter Agents', 'Propanols', 'Sulfur Compounds']"
1341;"['Alimentary Tract And Metabolism', 'Amines', 'Bcrp/Abcg2 Inhibitors', 'Biological Factors', 'Coenzymes', 'Dietary Supplements', 'Enzymes And Coenzymes', 'Ethylamines', 'Heterocyclic Compounds, Fused-Ring', 'Nitric Oxide Synthase', 'Other Miscellaneous Therapeutic Agents', 'P-Glycoprotein Inhibitors', 'Phenethylamines', 'Phenylalanine Hydroxylase Activator', 'Phenylalanine Hydroxylase Activators', 'Pigments, Biological', 'Pteridines', 'Pterins', 'Supplements', 'Various Alimentary Tract And Metabolism Products']"
1342;"['Alkaloids', 'Analgesics', 'Antitussive Agents', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Heterocyclic Compounds, Fused-Ring', 'Mixed Agonist / Antagonist Opioids', 'Morphinan Derivatives', 'Morphinans', 'Narcotics', 'Nervous System', 'Opiate Alkaloids', 'Opiate Partial Agonists', 'Opioid Agonist/Antagonist', 'Opioid Antagonists', 'Opioids', 'Peripheral Nervous System Agents', 'Phenanthrenes', 'Respiratory System Agents', 'Sensory System Agents', 'Serotonergic Drugs Shown To Increase Risk Of Serotonin Syndrome']"
1343;"['Antiarrhythmic Agents', 'Antiarrhythmics, Class Iii', 'Calcium-Regulating Hormones And Agents', 'Cardiovascular Agents', 'Cytochrome P-450 Cyp2D6 Substrates', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A5 Substrates', 'Cytochrome P-450 Substrates', 'Imidazoles', 'Imidazolidines', 'Membrane Transport Modulators', 'Moderate Risk Qtc-Prolonging Agents', 'Qtc Prolonging Agents']"
1344;"['Amides', 'Anticholinergic Agents', 'Bcrp/Abcg2 Substrates', 'Benzene Derivatives', 'Bronchodilator Agents', 'Cytochrome P-450 Cyp2D6 Substrates', 'Cytochrome P-450 Substrates', 'Drugs For Obstructive Airway Diseases', 'Muscarinic Antagonists', 'Oatp1B1/Slco1B1 Substrates', 'Oatp1B3 Substrates', 'P-Glycoprotein Substrates']"
1345;"['Benzazepines', 'Benzodiazepine Hypnotics And Sedatives', 'Benzodiazepines And Benzodiazepine Derivatives', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Cytochrome P-450 Cyp2B6 Inhibitors', 'Cytochrome P-450 Cyp2B6 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp2C19 Substrates', 'Cytochrome P-450 Cyp2C9 Substrates', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Heterocyclic Compounds, Fused-Ring', 'Hypnotics And Sedatives', 'Nervous System', 'Psycholeptics']"
1346;"['Bone Density Conservation Agents', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A4 Substrates (Strength Unknown)', 'Cytochrome P-450 Substrates', 'Diet, Food, And Nutrition', 'Food', 'Fused-Ring Compounds', 'Growth Substances', 'Micronutrients', 'Physiological Phenomena', 'Secosteroids', 'Steroids', 'Vitamin D And Analogues', 'Vitamins', 'Vitamins (Fat Soluble)']"
1347;"['Adrenergic Agents', 'Adrenergic Antagonists', 'Adrenergic Beta-1 Receptor Antagonists', 'Adrenergic Beta-Antagonists', 'Agents Causing Hyperkalemia', 'Alcohols', 'Amines', 'Amino Alcohols', 'Antiarrhythmic Agents', 'Antihypertensive Agents', 'Antihypertensive Agents Indicated For Hypertension', 'Beta Blocking Agents And Calcium Channel Blockers', 'Beta Blocking Agents And Thiazides', 'Beta Blocking Agents, Selective', 'Beta Blocking Agents, Selective, And Thiazides', 'Beta-Blockers (Beta1 Selective)', 'Bradycardia-Causing Agents', 'Cardiovascular Agents', 'Cytochrome P-450 Cyp2D6 Inhibitors', 'Cytochrome P-450 Cyp2D6 Inhibitors (Moderate)', 'Cytochrome P-450 Cyp2D6 Substrates', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A4 Substrates (Strength Unknown)', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Drugs Causing Inadvertant Photosensitivity', 'Drugs That Are Mainly Renally Excreted', 'Hypotensive Agents', 'Oct2 Inhibitors', 'Photosensitizing Agents', 'Propanolamines']"
1348;"['Adjuvants, Immunologic', 'Alkaloids', 'Analgesics', 'Analgesics, Non-Narcotic', 'Anti-Inflammatory Agents', 'Antirheumatic Agents', 'Central Nervous System Agents', 'Cytochrome P-450 Cyp1A2 Substrates', 'Cytochrome P-450 Substrates', 'Heterocyclic Compounds, Fused-Ring', 'Immunologic Factors', 'Peripheral Nervous System Agents', 'Purines', 'Purinones', 'Radiation-Sensitizing Agents', 'Sensory System Agents', 'Xanthine Derivatives']"
1349;"['Acids, Carbocyclic', 'Anti-Acne Preparations', 'Anti-Acne Preparations For Topical Use', 'Benzene Derivatives', 'Benzoates', 'Dermatologicals', 'Keratolytic Agents', 'Nitrogen Binding Agent', 'Peroxides']"
1350;"['Alimentary Tract And Metabolism', 'Coenzymes', 'Diet, Food, And Nutrition', 'Dietary Supplements', 'Enzymes And Coenzymes', 'Food', 'Growth Substances', 'Imidazoles', 'Micronutrients', 'Physiological Phenomena', 'Supplements', 'Vitamin B Complex', 'Vitamins']"
1351;"['Alkaloids', 'Analgesics', 'Anti-Asthmatic Agents', 'Autonomic Agents', 'Bronchodilator Agents', 'Cardiovascular Agents', 'Central Nervous System Agents', 'Cytochrome P-450 Cyp1A2 Substrates', 'Cytochrome P-450 Substrates', 'Drugs For Obstructive Airway Diseases', 'Heterocyclic Compounds, Fused-Ring', 'Peripheral Nervous System Agents', 'Purines', 'Purinones', 'Respiratory System Agents', 'Sensory System Agents', 'Vasodilating Agents', 'Xanthine Derivatives']"
1352;"['Anti-Infective Agents', 'Anti-Infective Agents, Urinary', 'Antibacterials For Systemic Use', 'Antifungal Agents', 'Antiinfectives For Systemic Use', 'Heterocyclic Compounds, Fused-Ring', 'Nitro Compounds', 'Quinolines', 'Renal Agents']"
1353;"['Acids, Acyclic', 'Anthelmintics', 'Anti-Infective Agents', 'Antihelminthic', 'Antimitotic Agents', 'Antinematodal Agents', 'Antiparasitic Agents', 'Antiparasitic Products, Insecticides And Repellents', 'Benzimidazole Derivatives', 'Benzimidazoles', 'Carbamates', 'Heterocyclic Compounds, Fused-Ring', 'Mitosis Modulators', 'Tubulin Modulators']"
1354;"['Acids', 'Acids, Noncarboxylic', 'Anions', 'Calcium Compounds', 'Electrolytes', 'Ions', 'Phosphate Salts', 'Phosphoric Acids', 'Phosphorus Acids', 'Phosphorus Compounds']"
1355;"['Anti-Bacterial Agents', 'Anti-Infective Agents', 'Antibacterials For Systemic Use', 'Antiinfectives For Systemic Use', 'Antineoplastic Agents', 'Enzyme Inhibitors', 'Fluoroquinolones', 'Heterocyclic Compounds, Fused-Ring', 'Potential Qtc-Prolonging Agents', 'Qtc Prolonging Agents', 'Quinolines', 'Quinolones', 'Topoisomerase Ii Inhibitors', 'Topoisomerase Inhibitors']"
1365;"['Adrenergic Agents', 'Adrenergic Alpha-1 Receptor Antagonists', 'Adrenergic Alpha-Antagonists', 'Adrenergic Antagonists', 'Adrenergic Uptake Inhibitors', 'Agents Producing Tachycardia', 'Agents That Produce Hypertension', 'Agents That Reduce Seizure Threshold', 'Anticholinergic Agents', 'Antidepressive Agents', 'Antidepressive Agents, Tricyclic', 'Benzocycloheptenes', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Combined Inhibitors Of Serotonin/Norepinephrine Reuptake', 'Cytochrome P-450 Cyp1A2 Substrates', 'Cytochrome P-450 Cyp1A2 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp2C19 Substrates', 'Cytochrome P-450 Cyp2C19 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp2D6 Inhibitors', 'Cytochrome P-450 Cyp2D6 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp2D6 Substrates', 'Cytochrome P-450 Cyp2D6 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp2E1 Inhibitors', 'Cytochrome P-450 Cyp2E1 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A4 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp3A5 Substrates', 'Cytochrome P-450 Cyp3A5 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Dibenzocycloheptenes', 'Dopamine Antagonists', 'Dopamine D2 Receptor Antagonists', 'Histamine Antagonists', 'Histamine H1 Antagonists', 'Membrane Transport Modulators', 'Muscarinic Antagonists', 'Narrow Therapeutic Index Drugs', 'Nervous System', 'Neurotoxic Agents', 'Neurotransmitter Agents', 'Neurotransmitter Uptake Inhibitors', 'Non-Selective Monoamine Reuptake Inhibitors', 'P-Glycoprotein Substrates', 'P-Glycoprotein Substrates With A Narrow Therapeutic Index', 'Potential Qtc-Prolonging Agents', 'Psychoanaleptics', 'Psychotropic Drugs', 'Qtc Prolonging Agents', 'Serotonergic Drugs Shown To Increase Risk Of Serotonin Syndrome', 'Serotonin 5-Ht1 Receptor Antagonists', 'Serotonin 5-Ht1A Receptor Antagonists', 'Serotonin 5-Ht2 Receptor Antagonists', 'Serotonin 5-Ht2A Receptor Antagonists', 'Serotonin 5-Ht2C Receptor Antagonists', 'Serotonin Agents', 'Serotonin Modulators', 'Serotonin Receptor Antagonists', 'Tricyclics And Other Norepinephrine-Reuptake Inhibitors']"
1366;"['Anticonvulsants', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Cytochrome P-450 Cyp1A2 Inhibitors', 'Cytochrome P-450 Cyp1A2 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp1A2 Substrates', 'Cytochrome P-450 Cyp2C19 Inhibitors', 'Cytochrome P-450 Cyp2C19 Inhibitors (Strong)', 'Cytochrome P-450 Cyp2C19 Substrates', 'Cytochrome P-450 Cyp2C9 Inhibitors', 'Cytochrome P-450 Cyp2C9 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp2D6 Inhibitors', 'Cytochrome P-450 Cyp2D6 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp3A Inhibitors', 'Cytochrome P-450 Cyp3A4 Inhibitors', 'Cytochrome P-450 Cyp3A4 Inhibitors (Strong)', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Dioxoles', 'Drugs Causing Inadvertant Photosensitivity', 'Drugs That Are Mainly Renally Excreted', 'Miscellaneous Anticonvulsants', 'Nervous System', 'Photosensitizing Agents']"
1356;"['Adrenergic Alpha-1 Receptor Antagonists', 'Adrenergic Alpha-Antagonists', 'Adrenergic Antagonists', 'Agents Producing Tachycardia', 'Agents That Produce Hypertension', 'Anticholinergic Agents', 'Antidepressive Agents', 'Antipsychotic Agents', 'Antipsychotic Agents (Second Generation [Atypical])', 'Aripiprazole And Prodrugs', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Cytochrome P-450 Cyp2D6 Substrates', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A5 Substrates', 'Cytochrome P-450 Cyp3A7 Substrates', 'Cytochrome P-450 Substrates', 'Dopamine Agents', 'Dopamine Agonists', 'Dopamine Antagonists', 'Dopamine D2 Receptor Antagonists', 'Heterocyclic Compounds, Fused-Ring', 'Histamine Antagonists', 'Histamine H1 Antagonists', 'Hyperglycemia-Associated Agents', 'Muscarinic Antagonists', 'Nervous System', 'Neurotoxic Agents', 'Neurotransmitter Agents', 'Piperazines', 'Potential Qtc-Prolonging Agents', 'Psycholeptics', 'Psychotropic Drugs', 'Qtc Prolonging Agents', 'Qtc Shortening Agents', 'Quinolines', 'Quinolones', 'Serotonergic Drugs Shown To Increase Risk Of Serotonin Syndrome', 'Serotonin 5-Ht1 Receptor Agonists', 'Serotonin 5-Ht1 Receptor Antagonists', 'Serotonin 5-Ht1D Receptor Antagonists', 'Serotonin 5-Ht2 Receptor Antagonists', 'Serotonin 5-Ht2A Receptor Antagonists', 'Serotonin 5-Ht2C Receptor Antagonists', 'Serotonin Agents', 'Serotonin Receptor Agonists', 'Serotonin Receptor Antagonists', 'Tranquilizing Agents']"
1357;"['Alimentary Tract And Metabolism', 'Blood Glucose Lowering Agents', 'Cytochrome P-450 Cyp2C19 Substrates', 'Cytochrome P-450 Cyp2C9 Substrates', 'Cytochrome P-450 Substrates', 'Drugs That Are Mainly Renally Excreted', 'Drugs Used In Diabetes', 'Hypoglycemia-Associated Agents', 'Oat1/Slc22A6 Inhibitors', 'Oral Hypoglycemics', 'Sulfones', 'Sulfonylureas', 'Sulfur Compounds']"
1358;"['Agents Producing Tachycardia', 'Androstanes', 'Androstanols', 'Anticholinergic Agents', 'Central Nervous System Depressants', 'Cholinergic Agents', 'Cholinesterase Inhibitors', 'Fused-Ring Compounds', 'Muscarinic Antagonists', 'Muscle Relaxants', 'Muscle Relaxants, Peripherally Acting Agents', 'Musculo-Skeletal System', 'Neuromuscular Agents', 'Neuromuscular Blocking Agents', 'Neuromuscular Nondepolarizing Blockade', 'Neuromuscular-Blocking Agents (Nondepolarizing)', 'Neurotransmitter Agents', 'Nicotinic Antagonists', 'Oct1 Inhibitors', 'Oct1 Substrates', 'Peripheral Nervous System Agents', 'Steroids']"
1359;"['Acids, Carbocyclic', 'Agents Causing Hyperkalemia', 'Agents That Produce Hypertension', 'Alimentary Tract And Metabolism', 'Aminosalicylate', 'Analgesics', 'Analgesics, Non-Narcotic', 'Anti-Inflammatory Agents', 'Anti-Inflammatory Agents, Non-Steroidal', 'Antidiarrheals, Intestinal Antiinflammatory/Antiinfective Agents', 'Benzene Derivatives', 'Benzoates', 'Central Nervous System Agents', 'Gastrointestinal Agents', 'Hydroxy Acids', 'Hydroxybenzoates', 'Intestinal Antiinflammatory Agents', 'Nephrotoxic Agents', 'Non Cox-2 Selective Nsaids', 'Peripheral Nervous System Agents', 'Phenols', 'Salicylates', 'Sensory System Agents']"
1360;"['Anti-Allergic Agents', 'Antihistamines For Systemic Use', 'Antihistamines For Topical Use', 'Antipruritics', 'Antipruritics, Incl. Antihistamines, Anesthetics, Etc.', 'Dermatologicals', 'Histamine Agents', 'Histamine Antagonists', 'Histamine H1 Antagonists', 'Potential Qtc-Prolonging Agents', 'Pyridines', 'Qtc Prolonging Agents']"
1361;"['Acids, Acyclic', 'Adjuvants, Immunologic', 'Anti-Infective Agents', 'Carbamates', 'Chelating Agents', 'Compounds Used In A Research, Industrial, Or Household Setting', 'Cytochrome P-450 Cyp2E1 Inhibitors', 'Cytochrome P-450 Cyp2E1 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp3A Inhibitors', 'Cytochrome P-450 Cyp3A4 Inhibitors', 'Cytochrome P-450 Cyp3A4 Inhibitors (Strong)', 'Cytochrome P-450 Cyp3A5 Inhibitors', 'Cytochrome P-450 Cyp3A5 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Enzyme Inhibitors', 'Immunologic Factors', 'Sequestering Agents', 'Sulfur Compounds', 'Thiocarbamates']"
1362;"['Adjuvants, Anesthesia', 'Anesthetics', 'Anti-Anxiety Agents', 'Benzodiazepine Hypnotics And Sedatives', 'Benzodiazepines And Benzodiazepine Derivatives', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Cytochrome P-450 Cyp3A Inhibitors', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Inhibitors', 'Cytochrome P-450 Cyp3A4 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A5 Substrates', 'Cytochrome P-450 Cyp3A7 Substrates', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Drugs That Are Mainly Renally Excreted', 'Gaba Agents', 'Gaba Modulators', 'Heterocyclic Compounds, Fused-Ring', 'Hypnotics And Sedatives', 'Nervous System', 'Neurotransmitter Agents', 'Psycholeptics', 'Psychotropic Drugs', 'Tranquilizing Agents', 'Triazolobenzodiazepines', 'Ugt1A4 Substrates']"
1363;"['Agents Producing Tachycardia', 'Anticholinergic Agents', 'Heterocyclic Compounds, Fused-Ring', 'Histamine Antagonists', 'Histamine H1 Antagonists', 'Muscarinic Antagonists', 'P-Glycoprotein Inhibitors']"
1364;"['Anti-Bacterial Agents', 'Anti-Infective Agents', 'Antibacterials For Systemic Use', 'Antiinfectives For Systemic Use', 'Cytochrome P-450 Cyp1A2 Inhibitors', 'Cytochrome P-450 Cyp1A2 Inhibitors (Weak)', 'Cytochrome P-450 Enzyme Inhibitors', 'Drugs Causing Inadvertant Photosensitivity', 'Enzyme Inhibitors', 'Fluoroquinolones', 'Heterocyclic Compounds, Fused-Ring', 'Highest Risk Qtc-Prolonging Agents', 'Photosensitizing Agents', 'Qtc Prolonging Agents', 'Quinolines', 'Quinolones', 'Topoisomerase Ii Inhibitors', 'Topoisomerase Inhibitors']"
1368;"['Alimentary Tract And Metabolism', 'Blood Glucose Lowering Agents', 'Cytochrome P-450 Cyp2C8 Inhibitors', 'Cytochrome P-450 Cyp2C8 Inhibitors (Moderate)', 'Cytochrome P-450 Cyp2C8 Substrates', 'Cytochrome P-450 Cyp2C9 Substrates', 'Cytochrome P-450 Cyp3A Inducers', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Inducers', 'Cytochrome P-450 Cyp3A4 Inducers (Strength Unknown)', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Enzyme Inducers', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Drugs Used In Diabetes', 'Hypoglycemia-Associated Agents', 'Oatp1B1/Slco1B1 Inhibitors', 'Oatp1B3 Inhibitors', 'Oral Hypoglycemics', 'Peroxisome Proliferator Receptor Gamma Agonist', 'Peroxisome Proliferator-Activated Receptor Activity', 'Sulfur Compounds', 'Thiazoles', 'Thiazolidinediones']"
1369;"['Acids, Carbocyclic', 'Amides', 'Antidepressive Agents', 'Antidepressive Agents, Second-Generation', 'Antiemetics', 'Antipsychotic Agents', 'Antipsychotic Agents (Second Generation [Atypical])', 'Bcrp/Abcg2 Substrates', 'Benzamides And Benzamide Derivatives', 'Benzene Derivatives', 'Benzoates', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Dopamine Agents', 'Dopamine Antagonists', 'Dopamine D2 Receptor Antagonists', 'Mate 1 Inhibitors', 'Mate 1 Substrates', 'Mate 2 Inhibitors', 'Mate 2 Substrates', 'Mate Inhibitors', 'Mate Substrates', 'Nervous System', 'Neurotoxic Agents', 'Neurotransmitter Agents', 'Oct1 Substrates', 'Opioid Agonist', 'P-Glycoprotein Substrates', 'Potential Qtc-Prolonging Agents', 'Psycholeptics', 'Psychotropic Drugs', 'Qtc Prolonging Agents', 'Serotonin 5-Ht2 Receptor Antagonists', 'Serotonin 5-Ht2A Receptor Antagonists', 'Serotonin Agents', 'Serotonin Receptor Antagonists', 'Tranquilizing Agents']"
1370;"['Anticholinergic Agents', 'Anticonvulsants', 'Barbiturates', 'Central Nervous System Depressants', 'Cytochrome P-450 Cyp3A Inducers', 'Cytochrome P-450 Cyp3A4 Inducers', 'Cytochrome P-450 Cyp3A4 Inducers (Strength Unknown)', 'Cytochrome P-450 Enzyme Inducers', 'Hypnotics And Sedatives', 'Methemoglobinemia Associated Agents', 'Nervous System', 'Nicotinic Antagonists', 'Psycholeptics', 'Pyrimidines', 'Pyrimidinones']"
1371;"['Amines', 'Estranes', 'Fused-Ring Compounds', 'Hydroxylamines', 'Steroids']"
1372;"['Anti-Bacterial Agents', 'Anti-Infective Agents', 'Cytochrome P-450 Cyp1A2 Inhibitors', 'Cytochrome P-450 Cyp1A2 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Enzyme Inhibitors', 'Fluoroquinolones', 'Heterocyclic Compounds, Fused-Ring', 'Quinolines', 'Quinolones']"
1373;"['Agents That Produce Hypertension', 'Agents That Reduce Seizure Threshold', 'Alkaloids', 'Antidepressive Agents', 'Carbolines', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Central Nervous System Stimulants', 'Enzyme Inhibitors', 'Harmala Alkaloids', 'Heterocyclic Compounds, Fused-Ring', 'Indole Alkaloids', 'Indoles', 'Monoamine Oxidase Inhibitors', 'Pyridines', 'Serotonergic Drugs Shown To Increase Risk Of Serotonin Syndrome']"
1374;"['Cell-Mediated Immunity', 'Skin Test Antigen']"
1375;"['P38 Mitogen-Activated Protein Kinases, Antagonists & Inhibitors', 'Pyridines']"
1376;"['Agents Causing Angioedema', 'Bcrp/Abcg2 Substrates', 'Comt Substrates', 'Cytochrome P-450 Cyp1A2 Inhibitors', 'Cytochrome P-450 Cyp1A2 Inhibitors (Weak)', 'Cytochrome P-450 Cyp1A2 Substrates', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Drugs That Are Mainly Renally Excreted', 'Estradiol Congeners', 'Estrogens', 'Estrogens, Conjugated (Usp)', 'Genito Urinary System And Sex Hormones', 'Gonadal Hormones', 'Gonadal Steroid Hormones', 'Hormones', 'Hormones, Hormone Substitutes, And Hormone Antagonists', 'Natural And Semisynthetic Estrogens, Plain', 'Oat3/Slc22A8 Inhibitors', 'Oat3/Slc22A8 Substrates', 'Oatp1B1/Slco1B1 Inhibitors', 'Oatp1B1/Slco1B1 Substrates', 'Oatp1B3 Substrates', 'Oatp2B1/Slco2B1 Substrates', 'P-Glycoprotein Substrates', 'Sex Hormones And Modulators Of The Genital System', 'Thyroxine-Binding Globulin Inducers']"
1377;"['Adenine Nucleotides', 'Amino Acids', 'Amino Acids, Acidic', 'Amino Acids, Dicarboxylic', 'Amino Acids, Peptides, And Proteins', 'Carbohydrates', 'Excitatory Amino Acids', 'Glycosides', 'Heterocyclic Compounds, Fused-Ring', 'Nucleic Acids, Nucleotides, And Nucleosides', 'Nucleotides', 'Purine Nucleotides', 'Purines', 'Ribonucleotides']"
1378;"['Acids, Carbocyclic', 'Amides', 'Benzene Derivatives', 'Benzoates', 'Enzyme Inhibitors', 'Phosphodiesterase 4 Inhibitors', 'Phosphodiesterase Inhibitors']"
1379;"['Amines', 'Anti-Dyskinesia Agents', 'Anti-Parkinson Drugs', 'Aromatic Amino Acid Decarboxylase Inhibitors', 'Aromatic L-Amino Acid Decarboxylase Inhibitors', 'Benzene Derivatives', 'Biogenic Amines', 'Biogenic Monoamines', 'Catecholamines', 'Catechols', 'Central Nervous System Agents', 'Drugs That Are Mainly Renally Excreted', 'Enzyme Inhibitors', 'Hydrazines', 'Phenols']"
1380;"['Acetates', 'Acids, Acyclic', 'Amides', 'Fatty Acids', 'Fatty Acids, Volatile', 'Lipids']"
1381;"['Adrenal Cortex Hormones', 'Anti-Inflammatory Agents', 'Corticosteroid Hormone Receptor Agonists', 'Corticosteroids', 'Corticosteroids, Dermatological Preparations', 'Corticosteroids, Potent (Group Iii)', 'Cytochrome P-450 Cyp3A Inducers', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Inducers', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Enzyme Inducers', 'Cytochrome P-450 Substrates', 'Dermatologicals', 'Fused-Ring Compounds', 'Hormones', 'Hormones, Hormone Substitutes, And Hormone Antagonists', 'Immunosuppressive Agents', 'Pregnadienes', 'Pregnadienetriols', 'Pregnanes', 'Steroids']"
1382;"['Antihistamines For Systemic Use', 'Central Nervous System Depressants', 'Histamine Agents', 'Histamine Antagonists', 'Histamine H1 Antagonists', 'Neurotransmitter Agents', 'Potential Qtc-Prolonging Agents', 'Pyridines', 'Qtc Prolonging Agents', 'Substituted Alkylamines']"
