phenocode;pheno_sex;description;description_more
25081;both_sexes;Mean FA in superior corona radiata on FA skeleton (left);Mean FA (fractional anisotropy) in superior corona radiata (left) on FA skeleton (from dMRI data)
25082;both_sexes;Mean FA in posterior corona radiata on FA skeleton (right);Mean FA (fractional anisotropy) in posterior corona radiata (right) on FA skeleton (from dMRI data)
25083;both_sexes;Mean FA in posterior corona radiata on FA skeleton (left);Mean FA (fractional anisotropy) in posterior corona radiata (left) on FA skeleton (from dMRI data)
25084;both_sexes;Mean FA in posterior thalamic radiation on FA skeleton (right);Mean FA (fractional anisotropy) in posterior thalamic radiation (right) on FA skeleton (from dMRI data)
25085;both_sexes;Mean FA in posterior thalamic radiation on FA skeleton (left);Mean FA (fractional anisotropy) in posterior thalamic radiation (left) on FA skeleton (from dMRI data)
25086;both_sexes;Mean FA in sagittal stratum on FA skeleton (right);Mean FA (fractional anisotropy) in sagittal stratum (right) on FA skeleton (from dMRI data)
25087;both_sexes;Mean FA in sagittal stratum on FA skeleton (left);Mean FA (fractional anisotropy) in sagittal stratum (left) on FA skeleton (from dMRI data)
25088;both_sexes;Mean FA in external capsule on FA skeleton (right);Mean FA (fractional anisotropy) in external capsule (right) on FA skeleton (from dMRI data)
25089;both_sexes;Mean FA in external capsule on FA skeleton (left);Mean FA (fractional anisotropy) in external capsule (left) on FA skeleton (from dMRI data)
25090;both_sexes;Mean FA in cingulum cingulate gyrus on FA skeleton (right);Mean FA (fractional anisotropy) in cingulum cingulate gyrus (right) on FA skeleton (from dMRI data)
25091;both_sexes;Mean FA in cingulum cingulate gyrus on FA skeleton (left);Mean FA (fractional anisotropy) in cingulum cingulate gyrus (left) on FA skeleton (from dMRI data)
25092;both_sexes;Mean FA in cingulum hippocampus on FA skeleton (right);Mean FA (fractional anisotropy) in cingulum hippocampus (right) on FA skeleton (from dMRI data)
25093;both_sexes;Mean FA in cingulum hippocampus on FA skeleton (left);Mean FA (fractional anisotropy) in cingulum hippocampus (left) on FA skeleton (from dMRI data)
25094;both_sexes;Mean FA in fornix cres+stria terminalis on FA skeleton (right);Mean FA (fractional anisotropy) in fornix cres+stria terminalis (right) on FA skeleton (from dMRI data)
25095;both_sexes;Mean FA in fornix cres+stria terminalis on FA skeleton (left);Mean FA (fractional anisotropy) in fornix cres+stria terminalis (left) on FA skeleton (from dMRI data)
25096;both_sexes;Mean FA in superior longitudinal fasciculus on FA skeleton (right);Mean FA (fractional anisotropy) in superior longitudinal fasciculus (right) on FA skeleton (from dMRI data)
25097;both_sexes;Mean FA in superior longitudinal fasciculus on FA skeleton (left);Mean FA (fractional anisotropy) in superior longitudinal fasciculus (left) on FA skeleton (from dMRI data)
25098;both_sexes;Mean FA in superior fronto-occipital fasciculus on FA skeleton (right);Mean FA (fractional anisotropy) in superior fronto-occipital fasciculus (right) on FA skeleton (from dMRI data)
25099;both_sexes;Mean FA in superior fronto-occipital fasciculus on FA skeleton (left);Mean FA (fractional anisotropy) in superior fronto-occipital fasciculus (left) on FA skeleton (from dMRI data)
25100;both_sexes;Mean FA in uncinate fasciculus on FA skeleton (right);Mean FA (fractional anisotropy) in uncinate fasciculus (right) on FA skeleton (from dMRI data)
25101;both_sexes;Mean FA in uncinate fasciculus on FA skeleton (left);Mean FA (fractional anisotropy) in uncinate fasciculus (left) on FA skeleton (from dMRI data)
25102;both_sexes;Mean FA in tapetum on FA skeleton (right);Mean FA (fractional anisotropy) in tapetum (right) on FA skeleton (from dMRI data)
25103;both_sexes;Mean FA in tapetum on FA skeleton (left);Mean FA (fractional anisotropy) in tapetum (left) on FA skeleton (from dMRI data)
25104;both_sexes;Mean MD in middle cerebellar peduncle on FA skeleton;Mean MD (mean diffusivity) in middle cerebellar peduncle on FA (fractional anisotropy) skeleton (from dMRI data)
25105;both_sexes;Mean MD in pontine crossing tract on FA skeleton;Mean MD (mean diffusivity) in pontine crossing tract on FA (fractional anisotropy) skeleton (from dMRI data)
25106;both_sexes;Mean MD in genu of corpus callosum on FA skeleton;Mean MD (mean diffusivity) in genu of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)
25107;both_sexes;Mean MD in body of corpus callosum on FA skeleton;Mean MD (mean diffusivity) in body of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)
25108;both_sexes;Mean MD in splenium of corpus callosum on FA skeleton;Mean MD (mean diffusivity) in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)
25109;both_sexes;Mean MD in fornix on FA skeleton;Mean MD (mean diffusivity) in fornix on FA (fractional anisotropy) skeleton (from dMRI data)
25110;both_sexes;Mean MD in corticospinal tract on FA skeleton (right);Mean MD (mean diffusivity) in corticospinal tract (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25111;both_sexes;Mean MD in corticospinal tract on FA skeleton (left);Mean MD (mean diffusivity) in corticospinal tract (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25112;both_sexes;Mean MD in medial lemniscus on FA skeleton (right);Mean MD (mean diffusivity) in medial lemniscus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25113;both_sexes;Mean MD in medial lemniscus on FA skeleton (left);Mean MD (mean diffusivity) in medial lemniscus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25114;both_sexes;Mean MD in inferior cerebellar peduncle on FA skeleton (right);Mean MD (mean diffusivity) in inferior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25115;both_sexes;Mean MD in inferior cerebellar peduncle on FA skeleton (left);Mean MD (mean diffusivity) in inferior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25116;both_sexes;Mean MD in superior cerebellar peduncle on FA skeleton (right);Mean MD (mean diffusivity) in superior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25117;both_sexes;Mean MD in superior cerebellar peduncle on FA skeleton (left);Mean MD (mean diffusivity) in superior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25118;both_sexes;Mean MD in cerebral peduncle on FA skeleton (right);Mean MD (mean diffusivity) in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25119;both_sexes;Mean MD in cerebral peduncle on FA skeleton (left);Mean MD (mean diffusivity) in cerebral peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25120;both_sexes;Mean MD in anterior limb of internal capsule on FA skeleton (right);Mean MD (mean diffusivity) in anterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25121;both_sexes;Mean MD in anterior limb of internal capsule on FA skeleton (left);Mean MD (mean diffusivity) in anterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25122;both_sexes;Mean MD in posterior limb of internal capsule on FA skeleton (right);Mean MD (mean diffusivity) in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25123;both_sexes;Mean MD in posterior limb of internal capsule on FA skeleton (left);Mean MD (mean diffusivity) in posterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25124;both_sexes;Mean MD in retrolenticular part of internal capsule on FA skeleton (right);Mean MD (mean diffusivity) in retrolenticular part of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25125;both_sexes;Mean MD in retrolenticular part of internal capsule on FA skeleton (left);Mean MD (mean diffusivity) in retrolenticular part of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25126;both_sexes;Mean MD in anterior corona radiata on FA skeleton (right);Mean MD (mean diffusivity) in anterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25127;both_sexes;Mean MD in anterior corona radiata on FA skeleton (left);Mean MD (mean diffusivity) in anterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25128;both_sexes;Mean MD in superior corona radiata on FA skeleton (right);Mean MD (mean diffusivity) in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25129;both_sexes;Mean MD in superior corona radiata on FA skeleton (left);Mean MD (mean diffusivity) in superior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25130;both_sexes;Mean MD in posterior corona radiata on FA skeleton (right);Mean MD (mean diffusivity) in posterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25131;both_sexes;Mean MD in posterior corona radiata on FA skeleton (left);Mean MD (mean diffusivity) in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25132;both_sexes;Mean MD in posterior thalamic radiation on FA skeleton (right);Mean MD (mean diffusivity) in posterior thalamic radiation (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25133;both_sexes;Mean MD in posterior thalamic radiation on FA skeleton (left);Mean MD (mean diffusivity) in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25134;both_sexes;Mean MD in sagittal stratum on FA skeleton (right);Mean MD (mean diffusivity) in sagittal stratum (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25135;both_sexes;Mean MD in sagittal stratum on FA skeleton (left);Mean MD (mean diffusivity) in sagittal stratum (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25136;both_sexes;Mean MD in external capsule on FA skeleton (right);Mean MD (mean diffusivity) in external capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25137;both_sexes;Mean MD in external capsule on FA skeleton (left);Mean MD (mean diffusivity) in external capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25138;both_sexes;Mean MD in cingulum cingulate gyrus on FA skeleton (right);Mean MD (mean diffusivity) in cingulum cingulate gyrus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25139;both_sexes;Mean MD in cingulum cingulate gyrus on FA skeleton (left);Mean MD (mean diffusivity) in cingulum cingulate gyrus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25140;both_sexes;Mean MD in cingulum hippocampus on FA skeleton (right);Mean MD (mean diffusivity) in cingulum hippocampus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25141;both_sexes;Mean MD in cingulum hippocampus on FA skeleton (left);Mean MD (mean diffusivity) in cingulum hippocampus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25142;both_sexes;Mean MD in fornix cres+stria terminalis on FA skeleton (right);Mean MD (mean diffusivity) in fornix cres+stria terminalis (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25143;both_sexes;Mean MD in fornix cres+stria terminalis on FA skeleton (left);Mean MD (mean diffusivity) in fornix cres+stria terminalis (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25144;both_sexes;Mean MD in superior longitudinal fasciculus on FA skeleton (right);Mean MD (mean diffusivity) in superior longitudinal fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25145;both_sexes;Mean MD in superior longitudinal fasciculus on FA skeleton (left);Mean MD (mean diffusivity) in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25146;both_sexes;Mean MD in superior fronto-occipital fasciculus on FA skeleton (right);Mean MD (mean diffusivity) in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25147;both_sexes;Mean MD in superior fronto-occipital fasciculus on FA skeleton (left);Mean MD (mean diffusivity) in superior fronto-occipital fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25148;both_sexes;Mean MD in uncinate fasciculus on FA skeleton (right);Mean MD (mean diffusivity) in uncinate fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25149;both_sexes;Mean MD in uncinate fasciculus on FA skeleton (left);Mean MD (mean diffusivity) in uncinate fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25150;both_sexes;Mean MD in tapetum on FA skeleton (right);Mean MD (mean diffusivity) in tapetum (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25151;both_sexes;Mean MD in tapetum on FA skeleton (left);Mean MD (mean diffusivity) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25152;both_sexes;Mean MO in middle cerebellar peduncle on FA skeleton;Mean MO (diffusion tensor mode) in middle cerebellar peduncle on FA (fractional anisotropy) skeleton (from dMRI data)
25153;both_sexes;Mean MO in pontine crossing tract on FA skeleton;Mean MO (diffusion tensor mode) in pontine crossing tract on FA (fractional anisotropy) skeleton (from dMRI data)
25154;both_sexes;Mean MO in genu of corpus callosum on FA skeleton;Mean MO (diffusion tensor mode) in genu of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)
25155;both_sexes;Mean MO in body of corpus callosum on FA skeleton;Mean MO (diffusion tensor mode) in body of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)
25156;both_sexes;Mean MO in splenium of corpus callosum on FA skeleton;Mean MO (diffusion tensor mode) in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)
25157;both_sexes;Mean MO in fornix on FA skeleton;Mean MO (diffusion tensor mode) in fornix on FA (fractional anisotropy) skeleton (from dMRI data)
25158;both_sexes;Mean MO in corticospinal tract on FA skeleton (right);Mean MO (diffusion tensor mode) in corticospinal tract (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25159;both_sexes;Mean MO in corticospinal tract on FA skeleton (left);Mean MO (diffusion tensor mode) in corticospinal tract (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25160;both_sexes;Mean MO in medial lemniscus on FA skeleton (right);Mean MO (diffusion tensor mode) in medial lemniscus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25161;both_sexes;Mean MO in medial lemniscus on FA skeleton (left);Mean MO (diffusion tensor mode) in medial lemniscus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25162;both_sexes;Mean MO in inferior cerebellar peduncle on FA skeleton (right);Mean MO (diffusion tensor mode) in inferior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25163;both_sexes;Mean MO in inferior cerebellar peduncle on FA skeleton (left);Mean MO (diffusion tensor mode) in inferior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25164;both_sexes;Mean MO in superior cerebellar peduncle on FA skeleton (right);Mean MO (diffusion tensor mode) in superior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25165;both_sexes;Mean MO in superior cerebellar peduncle on FA skeleton (left);Mean MO (diffusion tensor mode) in superior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25166;both_sexes;Mean MO in cerebral peduncle on FA skeleton (right);Mean MO (diffusion tensor mode) in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25167;both_sexes;Mean MO in cerebral peduncle on FA skeleton (left);Mean MO (diffusion tensor mode) in cerebral peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25168;both_sexes;Mean MO in anterior limb of internal capsule on FA skeleton (right);Mean MO (diffusion tensor mode) in anterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25169;both_sexes;Mean MO in anterior limb of internal capsule on FA skeleton (left);Mean MO (diffusion tensor mode) in anterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25170;both_sexes;Mean MO in posterior limb of internal capsule on FA skeleton (right);Mean MO (diffusion tensor mode) in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25171;both_sexes;Mean MO in posterior limb of internal capsule on FA skeleton (left);Mean MO (diffusion tensor mode) in posterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25172;both_sexes;Mean MO in retrolenticular part of internal capsule on FA skeleton (right);Mean MO (diffusion tensor mode) in retrolenticular part of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25173;both_sexes;Mean MO in retrolenticular part of internal capsule on FA skeleton (left);Mean MO (diffusion tensor mode) in retrolenticular part of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25174;both_sexes;Mean MO in anterior corona radiata on FA skeleton (right);Mean MO (diffusion tensor mode) in anterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25175;both_sexes;Mean MO in anterior corona radiata on FA skeleton (left);Mean MO (diffusion tensor mode) in anterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25176;both_sexes;Mean MO in superior corona radiata on FA skeleton (right);Mean MO (diffusion tensor mode) in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25177;both_sexes;Mean MO in superior corona radiata on FA skeleton (left);Mean MO (diffusion tensor mode) in superior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25178;both_sexes;Mean MO in posterior corona radiata on FA skeleton (right);Mean MO (diffusion tensor mode) in posterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25179;both_sexes;Mean MO in posterior corona radiata on FA skeleton (left);Mean MO (diffusion tensor mode) in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25180;both_sexes;Mean MO in posterior thalamic radiation on FA skeleton (right);Mean MO (diffusion tensor mode) in posterior thalamic radiation (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25181;both_sexes;Mean MO in posterior thalamic radiation on FA skeleton (left);Mean MO (diffusion tensor mode) in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25182;both_sexes;Mean MO in sagittal stratum on FA skeleton (right);Mean MO (diffusion tensor mode) in sagittal stratum (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25183;both_sexes;Mean MO in sagittal stratum on FA skeleton (left);Mean MO (diffusion tensor mode) in sagittal stratum (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25184;both_sexes;Mean MO in external capsule on FA skeleton (right);Mean MO (diffusion tensor mode) in external capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25185;both_sexes;Mean MO in external capsule on FA skeleton (left);Mean MO (diffusion tensor mode) in external capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25186;both_sexes;Mean MO in cingulum cingulate gyrus on FA skeleton (right);Mean MO (diffusion tensor mode) in cingulum cingulate gyrus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25187;both_sexes;Mean MO in cingulum cingulate gyrus on FA skeleton (left);Mean MO (diffusion tensor mode) in cingulum cingulate gyrus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25188;both_sexes;Mean MO in cingulum hippocampus on FA skeleton (right);Mean MO (diffusion tensor mode) in cingulum hippocampus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25189;both_sexes;Mean MO in cingulum hippocampus on FA skeleton (left);Mean MO (diffusion tensor mode) in cingulum hippocampus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25190;both_sexes;Mean MO in fornix cres+stria terminalis on FA skeleton (right);Mean MO (diffusion tensor mode) in fornix cres+stria terminalis (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25191;both_sexes;Mean MO in fornix cres+stria terminalis on FA skeleton (left);Mean MO (diffusion tensor mode) in fornix cres+stria terminalis (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25192;both_sexes;Mean MO in superior longitudinal fasciculus on FA skeleton (right);Mean MO (diffusion tensor mode) in superior longitudinal fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25193;both_sexes;Mean MO in superior longitudinal fasciculus on FA skeleton (left);Mean MO (diffusion tensor mode) in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25194;both_sexes;Mean MO in superior fronto-occipital fasciculus on FA skeleton (right);Mean MO (diffusion tensor mode) in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25195;both_sexes;Mean MO in superior fronto-occipital fasciculus on FA skeleton (left);Mean MO (diffusion tensor mode) in superior fronto-occipital fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25196;both_sexes;Mean MO in uncinate fasciculus on FA skeleton (right);Mean MO (diffusion tensor mode) in uncinate fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25197;both_sexes;Mean MO in uncinate fasciculus on FA skeleton (left);Mean MO (diffusion tensor mode) in uncinate fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25198;both_sexes;Mean MO in tapetum on FA skeleton (right);Mean MO (diffusion tensor mode) in tapetum (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25199;both_sexes;Mean MO in tapetum on FA skeleton (left);Mean MO (diffusion tensor mode) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25200;both_sexes;Mean L1 in middle cerebellar peduncle on FA skeleton;Mean L1 in middle cerebellar peduncle on FA (fractional anisotropy) skeleton (from dMRI data)
25201;both_sexes;Mean L1 in pontine crossing tract on FA skeleton;Mean L1 in pontine crossing tract on FA (fractional anisotropy) skeleton (from dMRI data)
25202;both_sexes;Mean L1 in genu of corpus callosum on FA skeleton;Mean L1 in genu of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)
25203;both_sexes;Mean L1 in body of corpus callosum on FA skeleton;Mean L1 in body of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)
25204;both_sexes;Mean L1 in splenium of corpus callosum on FA skeleton;Mean L1 in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)
25205;both_sexes;Mean L1 in fornix on FA skeleton;Mean L1 in fornix on FA (fractional anisotropy) skeleton (from dMRI data)
25206;both_sexes;Mean L1 in corticospinal tract on FA skeleton (right);Mean L1 in corticospinal tract (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25207;both_sexes;Mean L1 in corticospinal tract on FA skeleton (left);Mean L1 in corticospinal tract (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25208;both_sexes;Mean L1 in medial lemniscus on FA skeleton (right);Mean L1 in medial lemniscus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25209;both_sexes;Mean L1 in medial lemniscus on FA skeleton (left);Mean L1 in medial lemniscus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25210;both_sexes;Mean L1 in inferior cerebellar peduncle on FA skeleton (right);Mean L1 in inferior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25211;both_sexes;Mean L1 in inferior cerebellar peduncle on FA skeleton (left);Mean L1 in inferior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25212;both_sexes;Mean L1 in superior cerebellar peduncle on FA skeleton (right);Mean L1 in superior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25213;both_sexes;Mean L1 in superior cerebellar peduncle on FA skeleton (left);Mean L1 in superior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25214;both_sexes;Mean L1 in cerebral peduncle on FA skeleton (right);Mean L1 in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25215;both_sexes;Mean L1 in cerebral peduncle on FA skeleton (left);Mean L1 in cerebral peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25216;both_sexes;Mean L1 in anterior limb of internal capsule on FA skeleton (right);Mean L1 in anterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25217;both_sexes;Mean L1 in anterior limb of internal capsule on FA skeleton (left);Mean L1 in anterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25218;both_sexes;Mean L1 in posterior limb of internal capsule on FA skeleton (right);Mean L1 in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25219;both_sexes;Mean L1 in posterior limb of internal capsule on FA skeleton (left);Mean L1 in posterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25220;both_sexes;Mean L1 in retrolenticular part of internal capsule on FA skeleton (right);Mean L1 in retrolenticular part of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25221;both_sexes;Mean L1 in retrolenticular part of internal capsule on FA skeleton (left);Mean L1 in retrolenticular part of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25222;both_sexes;Mean L1 in anterior corona radiata on FA skeleton (right);Mean L1 in anterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25223;both_sexes;Mean L1 in anterior corona radiata on FA skeleton (left);Mean L1 in anterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25224;both_sexes;Mean L1 in superior corona radiata on FA skeleton (right);Mean L1 in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25225;both_sexes;Mean L1 in superior corona radiata on FA skeleton (left);Mean L1 in superior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25911;both_sexes;Volume of grey matter in VIIIa Cerebellum (right);Volume of grey matter in Right VIIIa Cerebellum
25226;both_sexes;Mean L1 in posterior corona radiata on FA skeleton (right);Mean L1 in posterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25227;both_sexes;Mean L1 in posterior corona radiata on FA skeleton (left);Mean L1 in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25228;both_sexes;Mean L1 in posterior thalamic radiation on FA skeleton (right);Mean L1 in posterior thalamic radiation (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25229;both_sexes;Mean L1 in posterior thalamic radiation on FA skeleton (left);Mean L1 in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25230;both_sexes;Mean L1 in sagittal stratum on FA skeleton (right);Mean L1 in sagittal stratum (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25231;both_sexes;Mean L1 in sagittal stratum on FA skeleton (left);Mean L1 in sagittal stratum (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25232;both_sexes;Mean L1 in external capsule on FA skeleton (right);Mean L1 in external capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25233;both_sexes;Mean L1 in external capsule on FA skeleton (left);Mean L1 in external capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25234;both_sexes;Mean L1 in cingulum cingulate gyrus on FA skeleton (right);Mean L1 in cingulum cingulate gyrus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25235;both_sexes;Mean L1 in cingulum cingulate gyrus on FA skeleton (left);Mean L1 in cingulum cingulate gyrus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25236;both_sexes;Mean L1 in cingulum hippocampus on FA skeleton (right);Mean L1 in cingulum hippocampus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25237;both_sexes;Mean L1 in cingulum hippocampus on FA skeleton (left);Mean L1 in cingulum hippocampus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25238;both_sexes;Mean L1 in fornix cres+stria terminalis on FA skeleton (right);Mean L1 in fornix cres+stria terminalis (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25239;both_sexes;Mean L1 in fornix cres+stria terminalis on FA skeleton (left);Mean L1 in fornix cres+stria terminalis (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25240;both_sexes;Mean L1 in superior longitudinal fasciculus on FA skeleton (right);Mean L1 in superior longitudinal fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25241;both_sexes;Mean L1 in superior longitudinal fasciculus on FA skeleton (left);Mean L1 in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25242;both_sexes;Mean L1 in superior fronto-occipital fasciculus on FA skeleton (right);Mean L1 in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25243;both_sexes;Mean L1 in superior fronto-occipital fasciculus on FA skeleton (left);Mean L1 in superior fronto-occipital fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
25244;both_sexes;Mean L1 in uncinate fasciculus on FA skeleton (right);Mean L1 in uncinate fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data)
25245;both_sexes;Mean L1 in uncinate fasciculus on FA skeleton (left);Mean L1 in uncinate fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data)
